name,urls,exodus_link
Foresee,"4seeresults.com, analytics.foresee.com, foresee.com, foreseeresults.com, i.4see.mobi, rec.replay.answerscloud.com",https://reports.exodus-privacy.eu.org/en/trackers/149/
FreeWheel,fwmrm.net,https://reports.exodus-privacy.eu.org/en/trackers/224/
Fyber,"adproxy.fyber.com, appengage-video.fyber.com, banner.fyber.com, engine.fyber.com, interstitial.fyber.com, mbe-cdn.fyber.com, offer.fyber.com, service.fyber.com, tracker.fyber.com, video-interstitial-assets-cdn.fyber.com, video.fyber.com",https://reports.exodus-privacy.eu.org/en/trackers/104/
Fyber SponsorPay,"appengage-video.sponsorpay.com, cdn1.sponsorpay.com, cdn2.sponsorpay.com, cdn3.sponsorpay.com, cdn4.sponsorpay.com, engine.sponsorpay.com",https://reports.exodus-privacy.eu.org/en/trackers/109/
GIPHY Analytics,"api.giphy.com, pingback.giphy.com",https://reports.exodus-privacy.eu.org/en/trackers/299/
GPShopper,"sdk.gpshopper.com, sypi.gpshopper.com",https://reports.exodus-privacy.eu.org/en/trackers/393/
Gemius HeatMap,gemius.pl,https://reports.exodus-privacy.eu.org/en/trackers/227/
Gimbal,"analytics-server.gimbal.com, api.gimbal.com, registration.gimbal.com, sdk-info.gimbal.com",https://reports.exodus-privacy.eu.org/en/trackers/201/
Google AdMob,"2mdn.net, dmtry.com, doubleclick.com, doubleclick.net, mng-ads.com, mobileads.google.com, ads.google.com, googlesyndication.com, googleadservices.com, googleads.g.doubleclick.net, adservice.g.cn",https://reports.exodus-privacy.eu.org/en/trackers/312/
Google Analytics,google-analytics.com,https://reports.exodus-privacy.eu.org/en/trackers/48/
Google CrashLytics,crashlytics.com,https://reports.exodus-privacy.eu.org/en/trackers/27/
Google DoubleClick,"2mdn.net, dmtry.com, doubleclick.com, doubleclick.net, mng-ads.com",https://reports.exodus-privacy.eu.org/en/trackers/5/
Google Firebase Analytics,"firebase.com, firebaselogging-pa.googleapis.com",https://reports.exodus-privacy.eu.org/en/trackers/49/
Google Tag Manager,"www.googletagmanager.com, www.googletagservices.com, www-googletagmanager.l.google.com",https://reports.exodus-privacy.eu.org/en/trackers/105/
Heap,heapanalytics.com,https://reports.exodus-privacy.eu.org/en/trackers/300/
HelpShift,helpshift.com,https://reports.exodus-privacy.eu.org/en/trackers/58/
